"key","en","es","nl","fr"
elec_garage_lights,"<strong>Garage Lighting (Alumbrado):</strong> Circuit supplying the illumination for the underground car park spaces and corridors.","<strong>Iluminación del garaje (Alumbrado):</strong> Circuito que alimenta la iluminación de las plazas y los pasillos del aparcamiento subterráneo.","<strong>Garageverlichting (Alumbrado):</strong> Stroomkring die de verlichting van de parkeerplaatsen en gangen in de ondergrondse parkeergarage van stroom voorziet.","<strong>Éclairage du parking (Alumbrado) :</strong> circuit alimentant l&#x27;éclairage des places de stationnement et des couloirs du parking souterrain."
elec_garage_loc_label,"Location:","Ubicación:","Locatie:","Lieu :"
elec_garage_loc_value,"Underground car park (basement level -1), in the corridor leading to the lift.","Aparcamiento subterráneo (planta -1), en el pasillo que lleva al ascensor.","Ondergrondse parkeergarage (kelderverdieping -1), in de gang die naar de lift leidt.","Parking souterrain (niveau -1), dans le couloir menant à l&#x27;ascenseur."
elec_garage_title,"Garage Electrical Panel & Swimming Pool Pumps","Cuadro eléctrico del garaje y bombas de la piscina","Elektriciteitskast in de garage en zwembadpompen","Tableau électrique du garage et pompes de piscine"
elec_panel_a_bot_header,"Bottom Row Components:","Componentes de la fila inferior:","Onderste rij:","Composants de la rangée du bas :"
elec_panel_a_depuradora,"Filtration Plant (Depuradora): Pool filtration plant / pump control circuit.","Planta de filtración (depuradora): Planta de filtración de la piscina / circuito de control de las bombas.","Filtratie-installatie (Depuradora): Filtratie-installatie voor zwembaden / regelcircuit voor pompen.","Station de filtration (Depuradora) : Station de filtration de la piscine / circuit de commande des pompes."
elec_panel_a_elevator,"Elevator (Ascensor): Elevator / lift power supply circuit (labeled on the lower frame).","Ascensor: Circuito de alimentación del ascensor (indicado en el marco inferior).","Lift (Ascensor): Stroomvoorzieningscircuit van de lift (aangegeven op het onderste frame).","Ascenseur (Ascensor) : circuit d&#x27;alimentation électrique de l&#x27;ascenseur (indiqué sur le châssis inférieur)."
elec_panel_a_fermax,"Intercom Power Supply (Fermax 8787): Electronic door keeper power supply unit (<em>Alimentador Portero Electronico</em>) providing low-voltage DC power for the building's intercom and door-release system.","Fuente de alimentación para el interfono (Fermax 8787): Fuente de alimentación <em>para el</em> portero<em> electrónico</em> que suministra corriente continua de baja tensión al sistema de interfono y apertura de puertas del edificio.","Voeding voor intercom (Fermax 8787): Elektronische voedingseenheid voor de deurhouder (<em>Alimentador Portero Electronico</em>) die laagspanningsgelijkstroom levert voor het intercom- en deuropeningssysteem van het gebouw.","Alimentation pour interphone (Fermax 8787) : bloc d&#x27;alimentation pour portier électronique (<em>Alimentador Portero Electronico</em>) fournissant une alimentation en courant continu basse tension au système d&#x27;interphone et de déverrouillage de porte de l&#x27;immeuble."
elec_panel_a_fountain,"Fountain (Fuente): Fountain circuit (pool water feature or decorative fountain pump).","Fuente: Circuito de la fuente (sistema de agua de la piscina o bomba de la fuente decorativa).","Fontein (Fuente): Fonteincircuit (waterornament voor het zwembad of pomp voor een decoratieve fontein).","Fontaine (Fuente) : circuit de fontaine (jeu d&#x27;eau pour bassin ou pompe de fontaine décorative)."
elec_panel_a_laundry,"Laundry Area (Lavanderia): Laundry area circuit (supplying washing machine or communal utility outlets).","Zona de lavandería (Lavandería): Circuito de la zona de lavandería (que alimenta la lavadora o las tomas de corriente comunes).","Wasruimte (Lavanderia): Aansluitcircuit voor de wasruimte (voor de wasmachine of gemeenschappelijke stopcontacten).","Espace buanderie (Lavanderia) : circuit de l&#x27;espace buanderie (alimentant le lave-linge ou les prises électriques communes)."
elec_panel_a_lighting,"Lighting (Alumbrado): Common area lighting circuit for the internal hallways and stairwells on this floor.","Iluminación (Alumbrado): Circuito de iluminación de las zonas comunes para los pasillos interiores y las escaleras de esta planta.","Verlichting (Alumbrado): Verlichtingscircuit voor de gemeenschappelijke ruimtes, namelijk de binnengangen en trappenhuizen op deze verdieping.","Éclairage (Alumbrado) : circuit d&#x27;éclairage des parties communes pour les couloirs intérieurs et les cages d&#x27;escalier de cet étage."
elec_panel_a_loc_label,"Location:","Ubicación:","Locatie:","Lieu :"
elec_panel_a_loc_value,"Hidden behind the large poster on the wall directly in front of the entry door. Remove the poster to access the box.","Está escondida detrás del gran cartel que hay en la pared, justo enfrente de la puerta de entrada. Quita el cartel para acceder a la caja.","Verborgen achter de grote poster aan de muur, recht tegenover de voordeur. Haal de poster weg om bij de doos te komen.","Caché derrière la grande affiche accrochée au mur, juste en face de la porte d&#x27;entrée. Retirez l&#x27;affiche pour accéder à la boîte."
elec_panel_a_mid_header,"Middle Row Circuit Breakdown:","Desglose del circuito de la fila central:","Overzicht van de middelste rij:","Analyse du circuit de la rangée du milieu :"
elec_panel_a_pool_lights,"Pool & Exterior Lighting (Luz Piscina / Luz Exterior): Pool lighting and outdoor perimeter lighting circuits.","Iluminación de piscinas y exteriores (Luz de piscina / Luz exterior): Circuitos de iluminación de piscinas y de iluminación perimetral exterior.","Zwembad- en buitenverlichting (Luz Piscina / Luz Exterior): Stroomcircuits voor zwembadverlichting en buitenverlichting rondom het terrein.","Éclairage de piscine et extérieur (Luz Piscina / Luz Exterior) : circuits d&#x27;éclairage de piscine et d&#x27;éclairage périphérique extérieur."
elec_panel_a_portero,"Intercom System (Portero): Intercom system power supply. Feeds the Fermax electronic door keeper power supply unit located directly on the right side of the bottom row.","Sistema de intercomunicación (Portero): Fuente de alimentación del sistema de intercomunicación. Alimenta la fuente de alimentación del portador electrónico Fermax, situada justo a la derecha de la fila inferior.","Intercomsysteem (Portero): Voeding voor het intercomsysteem. Voorziet de elektronische deurvergrendeling van Fermax van stroom; deze bevindt zich direct aan de rechterkant van de onderste rij.","Système d&#x27;interphone (Portero) : alimentation électrique du système d&#x27;interphone. Alimente le bloc d&#x27;alimentation du gâche électrique Fermax situé directement à droite de la rangée du bas."
elec_panel_a_restroom_lights,"Restroom Lighting (Luz Aseos): Toilets/bathrooms lighting circuit for communal or service washrooms.","Iluminación de aseos (Luz Aseos): Circuito de iluminación para aseos o baños comunes o de servicio.","Verlichting van sanitaire ruimtes (Luz Aseos): Verlichtingscircuit voor toiletten/badkamers in gemeenschappelijke of diensttoiletten.","Éclairage des sanitaires (Luz Aseos) : circuit d&#x27;éclairage des toilettes/salles de bains destiné aux sanitaires collectifs ou de service."
elec_panel_a_riti,"Telecommunications Infrastructure (RITI): Telecommunications infrastructure power supply (ICT / <em>Registro de Infraestructuras de Telecomunicacion</em>). Powers the building's central telecom and TV distribution amplifiers.","Infraestructura de telecomunicaciones (RITI): Suministro eléctrico de la infraestructura de telecomunicaciones (TIC / <em>Registro de Infraestructuras de Telecomunicaciones</em>). Suministra energía a los amplificadores centrales de distribución de telecomunicaciones y televisión del edificio.","Telecommunicatie-infrastructuur (RITI): Stroomvoorziening voor de telecommunicatie-infrastructuur (ICT / <em>Registro de Infraestructuras de Telecomunicación</em>). Voorziet de centrale telecommunicatie- en tv-versterkers van het gebouw van stroom.","Infrastructure de télécommunications (RITI) : Alimentation électrique de l&#x27;infrastructure de télécommunications (TIC / <em>Registre des infrastructures de télécommunications</em>). Alimente les amplificateurs centraux de distribution des signaux de télécommunications et de télévision du bâtiment."
elec_panel_a_scope_label,"Panel Scope:","Ámbito del panel:","Toepassingsgebied van het paneel:","Portée du groupe d&#x27;experts :"
elec_panel_a_scope_value,"Common Indoor Services, Telecommunications, Lighting & Pool/Utility Controls.","Servicios comunes en interiores, telecomunicaciones, iluminación y controles de piscinas y servicios públicos.","Algemene voorzieningen voor binnenruimtes, telecommunicatie, verlichting en besturing van zwembaden en technische installaties.","Services communs en intérieur, télécommunications, éclairage et commandes de piscine/équipements techniques."
elec_panel_a_title,"First Floor Electrical Panel A","Cuadro eléctrico A de la primera planta","Elektriciteitskast A op de eerste verdieping","Tableau électrique A du premier étage"
elec_panel_a_top_header,"Top Row Circuit Breakdown:","Desglose del circuito de la fila superior:","Overzicht van de bovenste rij:","Analyse du circuit de la rangée du haut :"
elec_panel_b_audio,"Audio & Extractor Hood (Audio / Campana): Audio systems and kitchen extractor hood circuits.","Audio y campana extractora (Audio / Campana): Circuitos de los sistemas de audio y de las campanas extractoras de cocina.","Audio &amp; afzuigkap (Audio / Campana): Audiosystemen en elektrische circuits van keukenafzuigkappen.","Système audio et hotte aspirante (Audio / Campana) : circuits des systèmes audio et des hottes aspirantes de cuisine."
elec_panel_b_bar_lights,"Bar Lighting / Lounge Lighting (Al. Barra / Al. Salon): Lighting circuits for the main lounge/living area.","Iluminación del bar / Iluminación del salón (Al. Barra / Al. Salón): Circuitos de iluminación para el salón principal o la zona de estar.","Barverlichting / Loungeverlichting (Al. Barra / Al. Salon): Verlichtingscircuits voor de hoofdlounge/woonruimte.","Éclairage du bar / Éclairage du salon (Al. Barra / Al. Salon) : circuits d&#x27;éclairage pour le salon principal."
elec_panel_b_bot_header,"Bottom Row Circuit Breakdown (Appliances & Heavy Loads):","Fallo en el circuito de la fila inferior (electrodomésticos y cargas pesadas):","Overbelasting van de onderste rij (huishoudelijke apparaten en zware belastingen):","Défaillance d&#x27;un disjoncteur de la rangée inférieure (appareils électroménagers et charges importantes) :"
elec_panel_b_coffee,"Coffee Machine (Cafetera): Dedicated circuit for the coffee machine or kitchen utility outlets.","Cafetera: Circuito específico para la cafetera o para las tomas de corriente de la cocina.","Koffiezetapparaat (Cafetera): Aparte stroomkring voor het koffiezetapparaat of de stopcontacten in de keuken.","Machine à café (Cafetera) : circuit dédié à la machine à café ou aux prises de courant de la cuisine."
elec_panel_b_diffs,"General Differential / Power Differential / Lighting Differential (Diferencial General / Diferencial Fuerza / Diferencial Alumbrado): Main residual current circuit breakers (RCDs) providing earth-leakage protection for general lines, power outlets, and lighting circuits.","Diferencial general / Diferencial de potencia / Diferencial de iluminación (Diferencial General / Diferencial de Fuerza / Diferencial de Alumbrado): Disyuntores diferenciales principales (RCD) que proporcionan protección contra fugas a tierra en las líneas generales, las tomas de corriente y los circuitos de iluminación.","Algemene aardlekbeveiliging / Vermogensaardlekbeveiliging / Verlichtingsaardlekbeveiliging (Diferencial General / Diferencial Fuerza / Diferencial Alumbrado): Hoofdaardlekbeveiligingen (RCD&#x27;s) die aardlekbeveiliging bieden voor algemene leidingen, stopcontacten en verlichtingscircuits.","Différentiel général / Différentiel de puissance / Différentiel d&#x27;éclairage (Diferencial General / Diferencial Fuerza / Diferencial Alumbrado) : disjoncteurs différentiels principaux assurant la protection contre les fuites à la terre pour les lignes générales, les prises de courant et les circuits d&#x27;éclairage."
elec_panel_b_dishwasher,"Dishwasher (Lavajillas): Dedicated circuit for the dishwasher.","Lavavajillas: Circuito específico para el lavavajillas.","Vaatwasser (Lavajillas): Eigen stroomkring voor de vaatwasser.","Lave-vaisselle (Lavajillas) : circuit électrique dédié au lave-vaisselle."
elec_panel_b_fryer,"Deep Fryer (Freidora): Dedicated high-load circuit for a deep fryer or auxiliary heavy kitchen appliance.","Freidora: Circuito específico de alta potencia para una freidora o un electrodoméstico de cocina auxiliar de gran potencia.","Friteuse (Freidora): Speciaal circuit voor zware belasting, bestemd voor een friteuse of een ander zwaar keukenapparaat.","Friteuse (Freidora) : circuit dédié à forte charge pour une friteuse ou un appareil de cuisine auxiliaire à forte consommation."
elec_panel_b_gen_lights,"General Lighting (Al. General): General lighting circuit.","Iluminación general (Al. General): Circuito de iluminación general.","Algemene verlichting (Al. General): Circuit voor algemene verlichting.","Éclairage général (Al. Général) : circuit d&#x27;éclairage général."
elec_panel_b_hob,"Ceramic Hob (Vitro): Dedicated high-load circuit for the ceramic/induction hob (cooktop).","Placa vitrocerámica (Vitro): Circuito específico de alta potencia para la placa vitrocerámica/de inducción.","Keramische kookplaat (Vitro): Speciaal circuit voor hoge belasting, bestemd voor de keramische/inductiekookplaat.","Plaque vitrocéramique (Vitro) : circuit dédié à forte charge pour la plaque vitrocéramique/à induction."
elec_panel_b_iron,"Iron / Utility (Plancha): Dedicated circuit for an iron or heavy utility appliance.","Plancha / Electrodoméstico pesado: Circuito específico para una plancha o un electrodoméstico pesado.","Strijkijzer / Huishoudelijk apparaat (Plancha): Aparte stroomkring voor een strijkijzer of een zwaar huishoudelijk apparaat.","Fer à repasser / Appareil électroménager (Plancha) : Circuit dédié à un fer à repasser ou à un appareil électroménager puissant."
elec_panel_b_loc_label,"Location:","Ubicación:","Locatie:","Lieu :"
elec_panel_b_loc_value,"First floor, located on the left-hand wall between the main entrance door and the door leading to the swimming pool.","Primera planta, situado en la pared de la izquierda, entre la puerta de entrada principal y la puerta que da a la piscina.","Eerste verdieping, aan de linkerkant tussen de hoofdingang en de deur naar het zwembad.","Au premier étage, situé sur le mur de gauche, entre la porte d&#x27;entrée principale et la porte menant à la piscine."
elec_panel_b_outlets,"Power Outlets (Enchufes): General power outlet circuits (multiple standard socket lines).","Tomas de corriente (enchufes): circuitos generales de tomas de corriente (líneas con múltiples enchufes estándar).","Stopcontacten (Enchufes): Algemene stopcontactcircuits (meerdere rijen standaardstopcontacten).","Prises électriques (Enchufes) : circuits généraux de prises électriques (rangs de prises standard multiples)."
elec_panel_b_oven,"Oven (Horno): Dedicated high-load circuit for the oven.","Horno: Circuito específico de alta carga para el horno.","Oven (Horno): Speciaal stroomcircuit voor de oven, bestemd voor zware belasting.","Four (Horno) : circuit dédié à forte charge pour le four."
elec_panel_b_scope_label,"Panel Scope:","Ámbito del panel:","Toepassingsgebied van het panel:","Portée du panel :"
elec_panel_b_scope_value,"Apartment or Main Utility Power Distribution (General Protection, Lighting, Common/Salon Circuits, Kitchen Appliances, and Heavy-Load Equipment).","Distribución eléctrica del piso o de la red principal (protección general, iluminación, circuitos comunes y del salón, electrodomésticos de cocina y equipos de alta potencia).","Stroomverdeling in het appartement of het hoofdnet (algemene beveiliging, verlichting, gemeenschappelijke/woonkamercircuits, keukenapparatuur en apparatuur met een hoog vermogen).","Appartement ou réseau de distribution électrique principal (protection générale, éclairage, circuits communs/salon, appareils électroménagers et équipements à forte consommation)."
elec_panel_b_spare,"Spare / Free (Libre): Spare/available circuit breaker.","De reserva / Libre (Libre): Interruptor automático de reserva o disponible.","Reserve / Vrij (Libre): Reserve-/beschikbare stroomonderbreker.","De réserve / Libre (Libre) : Disjoncteur de réserve/disponible."
elec_panel_b_title,"First Floor Electrical Panel B","Cuadro eléctrico B de la primera planta","Elektriciteitskast B op de eerste verdieping","Tableau électrique B du premier étage"
elec_panel_b_top_header,"Top Row Circuit Breakdown (Protection & Lighting / Salón):","Desglose de los circuitos de la fila superior (protección e iluminación / salón):","Overzicht van de bovenste rij (beveiliging en verlichting / Salón):","Détail du circuit de la rangée supérieure (Protection et éclairage / Salon) :"
elec_photo_1,"Garage electrical panel (Gate, Alumbrado, C10 & C25 pool pumps) in the car park corridor next to the lift.","Cuadro eléctrico del garaje (puerta, alumbrado, bombas de piscina C10 y C25) en el pasillo del aparcamiento, junto al ascensor.","De elektriciteitskast van de garage (poort, verlichting, zwembadpompen C10 en C25) bevindt zich in de gang van de parkeergarage naast de lift.","Tableau électrique du garage (portail, éclairage, pompes de piscine C10 et C25) situé dans le couloir du parking, à côté de l&#x27;ascenseur."
elec_photo_2,"First floor electrical panel A.","Cuadro eléctrico A de la primera planta.","Elektriciteitskast A op de eerste verdieping.","Tableau électrique A du premier étage."
elec_photo_3,"First floor electrical panel B.","Cuadro eléctrico B de la primera planta.","Elektriciteitskast B op de eerste verdieping.","Tableau électrique B du premier étage."
elec_photo_outdoor,"Main outdoor electrical cabinet containing the utility meters.","Armario eléctrico exterior principal que alberga los contadores de servicios públicos.","Hoofdschakelkast voor buiten, waarin de meters zijn ondergebracht.","Armoire électrique extérieure principale abritant les compteurs."
elec_pool_fuse_c10,"<strong>Fuse C10 (Water Jets):</strong> Dedicated circuit for the secondary water jet pump, operating with a lower electricity consumption.","<strong>Fusible C10 (chorros de agua):</strong> Circuito específico para la bomba secundaria de chorros de agua, que funciona con un menor consumo eléctrico.","<strong>Zekering C10 (waterstralen):</strong> Apart circuit voor de secundaire waterstraalpomp, dat met een lager stroomverbruik werkt.","<strong>Fusible C10 (jets d&#x27;eau) :</strong> circuit dédié à la pompe secondaire des jets d&#x27;eau, fonctionnant avec une consommation électrique réduite."
elec_pool_fuse_c25,"<strong>Fuse C25 (Filter Pump):</strong> Dedicated circuit for the main pool filtration pump, which handles the highest electricity consumption.","<strong>Fusible C25 (bomba de filtración):</strong> Circuito específico para la bomba de filtración principal de la piscina, que es la que más electricidad consume.","<strong>Zekering C25 (filterpomp):</strong> Een apart stroomcircuit voor de hoofdfilterpomp van het zwembad, die het hoogste stroomverbruik heeft.","<strong>Fusible C25 (pompe de filtration) :</strong> circuit dédié à la pompe de filtration principale de la piscine, qui représente la plus grande partie de la consommation électrique."
electricity_meters_desc,"All installed electricity meters are digital smart meters (standardized utility models equipped with an LCD display and optical interface) featuring automated remote readout and smart grid telemetry. This allows Portillo to continuously record consumption data remotely without requiring manual, on-site meter readings.","Todos los contadores eléctricos instalados son contadores inteligentes digitales (modelos normalizados equipados con una pantalla LCD y una interfaz óptica) que cuentan con lectura remota automatizada y telemetría de red inteligente. Esto permite a Portillo registrar de forma continua los datos de consumo de forma remota, sin necesidad de realizar lecturas manuales in situ.","Alle geïnstalleerde elektriciteitsmeters zijn digitale slimme meters (gestandaardiseerde modellen uitgerust met een LCD-scherm en een optische interface) met automatische aflezing op afstand en telemetrie voor slimme netwerken. Hierdoor kan Portillo continu verbruiksgegevens op afstand registreren, zonder dat er handmatige meteraflezingen ter plaatse nodig zijn.","Tous les compteurs électriques installés sont des compteurs intelligents numériques (modèles standardisés équipés d&#x27;un écran LCD et d&#x27;une interface optique) dotés d&#x27;une fonction de relevé automatisé à distance et d&#x27;une télémétrie compatible avec les réseaux intelligents. Cela permet à Portillo d&#x27;enregistrer en continu les données de consommation à distance, sans avoir besoin de procéder à des relevés manuels sur place."
electricity_meters_lbl,"Meter Technology & Reading:","Tecnología y lectura de contadores:","Metertechnologie en meterstandenopname:","Technologie des compteurs et relevés :"
electricity_provider_title,"Provider Details","Datos del proveedor","Gegevens van de aanbieder","Coordonnées du prestataire"
electricity_text,"Information regarding electrical infrastructure, meters, consumer units and supplier.","Información sobre infraestructura eléctrica, contadores, interruptores y proveedor.","Informatie over de elektrische infrastructuur, meters, schakelaars en leverancier.","Informations sur l'infrastructure électrique, les compteurs, les disjoncteurs et le fournisseur."
electricity_title,"Electricity","Electricidad","Elektriciteit","Électricité"
emergency_061,"<strong>061:</strong> Ambulance / urgent medical care","<strong>061:</strong> Ambulancia / asistencia médica urgente","<strong>061:</strong> Ambulance / spoedeisende medische hulp","<strong>061 :</strong> Ambulance / soins médicaux d&#x27;urgence"
emergency_112,"<strong>112:</strong> General emergencies (police, fire, ambulance)","<strong>112:</strong> Emergencias generales (policía, bomberos, ambulancia)","<strong>112:</strong> Algemene noodsituaties (politie, brandweer, ambulance)","<strong>112 :</strong> Urgences générales (police, pompiers, ambulance)"
emergency_fire,"<strong>Bomberos Levante Almeriense (Vera):</strong> +34 950 39 00 81","<strong>Bomberos de Levante Almeriense (Vera):</strong> +34 950 39 00 81","<strong>Brandweer Levante Almeriense (Vera):</strong> +34 950 39 00 81","<strong>Pompiers de Levante Almeriense (Vera) :</strong> +34 950 39 00 81"
emergency_fire_title,"Fire Brigade","Cuerpo de Bomberos","Brandweer","Pompiers"
emergency_general_title,"General Emergencies","Emergencias generales","Algemene noodsituaties","Urgences générales"
emergency_guardia,"<strong>Guardia Civil (Vera):</strong> +34 950 39 00 56","<strong>Guardia Civil (Vera):</strong> +34 950 39 00 56","<strong>Guardia Civil (Vera):</strong> +34 950 39 00 56","<strong>Garde civile (Vera) :</strong> +34 950 39 00 56"
emergency_healthcenter,"<strong>Centro de Salud Vera:</strong> +34 950 45 85 00","<strong>Centro de Salud Vera:</strong> +34 950 45 85 00","<strong>Gezondheidscentrum Vera:</strong> +34 950 45 85 00","<strong>Centre de santé de Vera :</strong> +34 950 45 85 00"
emergency_hospital,"<strong>Hospital La Inmaculada (Huércal-Overa):</strong> +34 950 02 00 00","<strong>Hospital La Inmaculada (Huércal-Overa):</strong> +34 950 02 00 00","<strong>Ziekenhuis La Inmaculada (Huércal-Overa):</strong> +34 950 02 00 00","<strong>Hôpital La Inmaculada (Huércal-Overa) :</strong> +34 950 02 00 00"
emergency_medical_title,"Medical","Médico","Medisch","Médical"
emergency_police_local,"<strong>Policía Local (Cuevas del Almanzora):</strong> +34 950 45 80 81","<strong>Policía Local (Cuevas del Almanzora):</strong> +34 950 45 80 81","<strong>Gemeentepolitie (Cuevas del Almanzora):</strong> +34 950 45 80 81","<strong>Police municipale (Cuevas del Almanzora) :</strong> +34 950 45 80 81"
emergency_police_title,"Police","Policía","Politie","Police"
emergency_text,"Critical emergency contacts for Palomares, Vera, and surrounding areas.","Contactos de emergencia imprescindibles para Palomares, Vera y sus alrededores.","Belangrijke contactgegevens voor noodgevallen in Palomares, Vera en de omliggende gebieden.","Coordonnées des services d&#x27;urgence à contacter en cas d&#x27;urgence à Palomares, Vera et dans les environs."
emergency_title,"Emergency Numbers","Números de emergencia","Noodnummers","Numéros d&#x27;urgence"
fob_auth_address,"<strong>Getting Access:</strong> Contact Francisca in order to have the code needed for this specific gate.","<strong>Cómo acceder:</strong> Ponte en contacto con Francisca para que te facilite el código necesario para esta verja en concreto.","<strong>Toegang krijgen:</strong> Neem contact op met Francisca om de code te krijgen die nodig is voor deze specifieke poort.","<strong>Pour y accéder :</strong> contactez Francisca afin d&#x27;obtenir le code nécessaire pour ce portillon en particulier."
fob_auth_desc,"A new key fob will not open the gate out of the box because the complex uses a secure rolling-code system. Every new remote must be registered into the central control memory.","Un mando a distancia nuevo no abrirá la verja nada más sacarlo de la caja, ya que el complejo utiliza un sistema seguro de código variable. Cada mando nuevo debe registrarse en la memoria del control central.","Een nieuwe afstandsbediening opent de poort niet direct uit de verpakking, omdat het complex gebruikmaakt van een beveiligd systeem met wisselende codes. Elke nieuwe afstandsbediening moet worden geregistreerd in het centrale besturingsgeheugen.","Un nouveau télécommande ne permettra pas d&#x27;ouvrir le portail dès sa sortie de l&#x27;emballage, car la résidence utilise un système sécurisé à code tournant. Chaque nouvelle télécommande doit être enregistrée dans la mémoire du système de contrôle central."
